,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_01_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1
0,0,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,2,0,6,4,0,0,1
1,0,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,2,0,3,6,0,0,0
2,0,1,0,3,3,2,0,6,1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,0,4,3,0,3,2,1,0
3,0,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,2,0,6,4,0,-1,1
4,0,0,1,2,4,5,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,3,1,4,0,1,2,1
5,0,1,0,1,3,2,0,6,3,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,1,2,0,2,5,5,5,2,1,0
6,0,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,2,0,6,4,0,0,0
7,0,0,1,2,4,4,5,4,-1,-1,1,1,0,0,0,0,0,0,0,0,2,0,5,3,1,0,1,0,2,3,5,5,7,1,-1,1
8,0,0,1,2,4,5,2,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,0,2,0,2,2,7,1,2,0
9,0,0,1,2,1,0,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,0,2,0,2,2,1,1,-1,1
10,0,0,1,2,4,4,5,4,-1,-1,1,1,0,0,0,0,0,0,0,0,2,4,5,3,1,0,1,0,2,2,5,5,7,1,-1,0
11,0,0,1,2,1,0,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,0,2,0,2,2,1,1,-1,2
12,0,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,4,1,2,0,-1,1
13,0,0,1,2,1,0,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,2,0,2,2,1,1,2,2
14,0,0,0,3,2,2,0,6,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,0,4,3,0,3,2,-1,0
15,0,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,2,0,3,6,0,0,2
16,0,1,0,3,2,3,4,3,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,4,3,0,3,2,1,1
17,0,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,4,1,2,0,-1,2
18,0,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,2,0,6,4,0,0,0
19,0,1,0,1,3,2,3,0,5,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,2,2,5,5,5,2,1,0
20,0,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,4,3,6,0,0,2
21,0,1,2,0,0,1,3,3,6,3,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,2,0,4,5,5,5,0,-1,0
22,0,0,1,2,4,5,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,3,1,4,0,1,-1,1
23,0,1,0,1,3,4,3,0,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,2,2,5,5,5,2,1,2
24,0,1,0,1,3,2,3,0,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,2,2,5,5,5,2,1,2
25,0,1,0,3,2,3,4,3,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,4,3,0,3,2,1,0
26,0,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,4,3,6,0,0,1
27,0,0,1,1,3,4,5,0,8,4,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,0,2,2,5,5,5,2,-1,1
