,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35
0,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,0,6,0,0,1,1,1,0,2,0,1,2,0,1,1,0,0,1,0,2,1,2,0,1,0,0,2,1,2,1,0,1,2,1,1,1,1,2,2
1,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,7,0,3,2,2,0,0,1,2,1,0,2,0,2,2,1,2,2,0,2,0,1,2,0,2,2,2,2,0,0,2,1,1,2,1,1,0,2
2,0,1,0,3,3,5,3,4,1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,0,2,0,3,2,4,2,9,1,2,0,2,1,1,2,1,2,1,0,0,2,2,1,2,0,1,0,0,0,2,1,1,0,1,0,0,1,2,1,0,1,1,2
3,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,0,6,0,-1,2,2,0,1,1,2,1,1,0,0,2,1,2,1,0,0,1,2,0,2,1,1,2,2,2,1,1,1,1,2,1,2,0,2,0
4,0,0,1,1,1,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,3,4,5,5,1,19,2,2,1,1,2,2,1,1,2,0,2,2,0,0,1,2,1,0,0,0,1,0,0,2,0,2,0,1,2,0,1,1,1,0,1
5,0,1,0,0,0,5,3,4,3,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,1,0,2,2,2,6,1,2,-1,1,2,2,0,0,2,0,0,0,0,1,1,1,1,1,1,0,1,0,2,0,2,0,0,0,0,1,1,1,1,1,2,1,0,1
6,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,0,6,0,-1,1,2,1,2,0,2,0,0,0,2,2,0,1,1,0,1,1,1,0,1,1,0,2,2,2,2,1,0,1,2,1,0,0,1,1
7,0,0,1,1,1,3,4,5,-1,-1,1,1,0,0,0,0,0,0,0,0,2,0,5,3,1,0,1,2,1,3,2,6,0,1,-1,2,2,0,2,0,2,1,0,0,1,1,0,0,2,2,1,0,2,1,0,0,0,1,1,0,2,2,2,0,1,0,2,1,0,2
8,0,0,1,1,1,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,2,1,4,1,1,0,1,-1,1,2,0,0,2,1,2,1,2,1,1,0,1,1,1,1,0,2,0,0,1,1,1,1,1,2,1,1,2,0,0,2,1,2,1
9,0,0,1,1,4,0,1,6,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,2,1,4,1,1,2,1,-1,2,1,0,2,0,0,0,0,0,2,0,1,0,2,0,0,1,2,0,2,0,2,2,0,0,0,0,2,1,1,1,2,2,2,1
10,0,0,1,1,1,3,4,5,-1,-1,1,1,0,0,0,0,0,0,0,0,2,4,5,3,1,0,1,2,1,2,2,6,0,1,-1,2,2,0,0,2,1,1,1,0,0,0,2,0,0,1,2,2,2,0,1,1,2,0,0,0,0,1,2,1,0,1,0,2,1,0
11,0,0,1,1,4,0,1,6,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,2,1,4,1,1,2,1,-1,0,1,0,1,1,0,2,0,0,0,2,2,2,1,0,0,0,0,2,2,1,2,2,2,1,1,1,1,2,1,0,2,0,1,0
12,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,0,4,3,0,7,2,0,0,0,2,2,1,1,0,0,1,1,1,1,1,2,1,0,0,2,1,1,1,1,1,0,1,0,1,2,0,1,0,1,1
13,0,0,1,1,4,0,1,6,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,2,1,4,1,1,2,1,15,2,1,1,0,1,2,1,2,2,0,2,0,1,2,0,0,1,2,0,2,2,2,2,0,1,2,2,1,0,1,0,1,1,0,2
14,0,0,0,3,3,5,3,4,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,0,2,0,3,2,4,2,-1,0,1,1,0,2,0,1,1,0,0,0,1,1,0,2,2,2,2,0,1,2,0,0,0,2,0,0,0,0,2,0,1,2,0,0
15,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,7,0,4,1,1,2,1,1,0,0,2,0,1,1,1,0,2,0,0,1,1,2,0,2,2,2,2,0,0,0,0,0,0,2,1,1,1,0
16,0,1,0,3,3,2,0,7,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,0,2,0,3,2,4,2,8,1,0,2,1,1,1,0,2,2,2,2,0,1,0,1,1,2,1,1,1,2,0,0,0,0,2,0,2,1,2,1,0,0,1,1
17,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,0,4,3,0,-1,1,2,2,2,0,1,0,0,1,2,1,0,0,0,1,0,2,1,0,2,2,2,0,0,1,2,2,1,0,0,2,2,2,2,1
18,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,0,6,0,0,1,1,2,0,0,0,2,2,1,0,0,0,2,2,1,0,2,1,0,0,0,1,1,2,2,0,2,2,1,2,1,2,0,2,0
19,0,1,0,0,0,5,5,2,5,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,0,1,2,2,6,1,2,-1,2,0,2,1,2,2,0,1,0,0,0,2,2,0,2,1,2,2,1,0,0,0,2,0,0,0,0,1,0,0,0,1,2,2,0
20,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,0,3,7,0,-1,2,1,2,0,2,2,2,0,0,0,0,2,2,2,1,2,0,2,0,2,2,0,0,1,1,0,0,1,2,0,2,1,0,1,2
21,0,1,2,2,2,1,5,7,6,3,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,0,2,0,2,6,1,0,-1,0,1,2,1,0,2,0,1,2,0,0,2,1,1,1,2,2,2,1,2,2,2,0,0,0,1,1,0,2,0,1,1,2,1,0
22,0,0,1,1,1,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,3,4,5,5,1,-1,2,2,1,1,0,2,0,1,0,0,2,0,2,0,2,0,1,2,2,2,2,0,1,1,2,0,2,0,1,2,0,1,0,2,2
23,0,1,0,0,0,3,5,2,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,0,1,2,2,6,1,2,11,0,0,0,1,2,1,0,2,0,2,2,0,0,0,0,1,0,1,0,2,2,0,2,0,1,0,2,2,1,2,2,2,2,2,1
24,0,1,0,0,0,5,5,2,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,0,1,2,2,6,1,2,11,1,1,1,0,1,1,2,1,0,2,2,1,0,0,0,1,0,1,0,0,2,2,1,0,0,2,0,0,2,1,0,1,2,1,0
25,0,1,0,3,3,2,0,7,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,0,2,0,3,2,4,2,8,0,0,1,1,0,0,0,2,0,2,2,1,0,1,1,2,2,2,2,2,2,0,2,0,2,2,2,1,1,1,2,2,1,2,1
26,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,0,3,7,0,2,0,2,2,2,0,2,2,0,0,0,0,0,0,0,2,1,2,2,2,2,2,2,0,0,0,2,2,1,0,1,0,2,1,0,2
27,0,0,1,0,0,3,4,5,8,4,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,1,2,2,6,1,2,-1,2,2,0,2,2,2,0,2,1,0,2,2,2,2,0,1,0,2,0,2,2,2,0,1,2,2,2,0,0,1,2,0,2,1,1
28,0,1,0,3,3,5,3,4,9,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,0,2,0,3,2,4,2,12,1,1,1,0,2,1,0,2,2,2,1,1,2,2,0,0,1,0,1,0,2,1,1,1,1,0,0,2,1,1,1,1,0,0,1
29,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,7,0,-1,0,1,0,2,2,0,2,1,2,2,2,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,2,2
30,0,0,1,1,4,0,1,6,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,2,1,4,1,1,2,1,-1,0,1,1,1,1,1,0,2,1,0,2,1,0,2,0,2,1,2,0,2,1,1,2,0,2,0,1,1,2,2,1,2,1,1,1
31,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,0,4,3,0,-1,1,2,1,1,2,1,1,1,2,1,2,0,2,0,1,2,2,0,2,1,1,0,2,1,0,2,1,2,1,2,0,0,0,1,1
32,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,0,3,3,0,-1,0,1,1,1,2,1,0,1,1,0,1,0,1,2,1,2,1,1,2,0,1,1,0,2,0,0,2,1,0,2,2,2,2,2,1
33,0,1,0,3,3,2,0,7,-1,-1,2,0,0,0,0,0,0,0,1,1,3,2,1,1,6,0,0,0,2,0,3,2,4,0,-1,1,0,2,1,2,2,0,1,0,0,1,1,2,2,1,0,1,0,2,1,2,0,0,1,1,2,0,1,0,0,0,1,0,2,1
34,0,1,0,0,0,5,5,2,10,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,2,0,0,0,1,2,2,6,1,2,-1,1,2,1,1,2,2,2,1,0,2,0,2,1,1,2,0,2,0,0,2,2,1,1,1,0,0,2,2,2,1,2,2,0,1,1
35,0,0,1,1,4,0,1,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,2,1,4,1,1,2,1,-1,1,2,1,0,2,1,2,0,0,1,1,0,2,0,1,0,0,2,0,1,2,2,1,0,0,1,0,2,1,2,0,1,0,2,1
36,0,0,1,0,0,3,4,5,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,1,2,2,6,1,2,-1,2,2,2,1,2,1,1,0,1,1,1,1,2,0,2,1,1,0,0,1,0,0,0,0,2,2,2,0,2,0,0,0,2,1,0
37,0,0,1,0,4,3,4,5,-1,-1,0,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,1,2,1,2,2,6,1,1,-1,0,1,1,1,2,0,0,0,0,1,1,2,1,2,1,2,0,2,0,1,2,0,0,1,2,0,2,2,1,0,2,2,2,0,2
38,0,0,0,0,0,3,3,4,-1,5,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,0,1,2,2,6,1,2,-1,1,0,2,0,2,2,2,1,1,2,0,0,0,0,0,0,2,1,0,1,2,0,0,2,0,2,0,0,0,0,1,1,2,2,0
39,0,0,1,1,4,0,1,6,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,2,1,4,1,1,0,1,22,2,1,0,0,1,2,1,0,0,2,2,2,2,1,1,1,1,0,1,1,2,1,1,0,2,0,1,2,0,1,2,1,0,1,0
40,0,1,0,3,3,5,3,4,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,0,2,0,3,2,4,2,12,0,2,2,0,0,2,2,1,2,2,0,1,1,0,2,1,1,1,1,1,1,0,0,2,0,1,2,0,2,2,1,2,2,0,2
41,0,1,0,3,3,2,0,3,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,0,2,0,3,2,4,2,-1,2,2,0,2,2,2,2,1,1,0,1,2,2,0,1,1,1,1,0,0,0,1,2,2,1,2,2,2,0,0,2,1,2,0,2
42,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,0,4,3,0,6,2,1,1,2,1,2,0,1,0,0,1,2,0,0,0,1,2,1,1,1,0,1,2,2,1,1,0,2,0,2,1,1,1,1,2
43,0,0,1,1,4,0,1,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,1,4,1,1,2,1,-1,1,0,1,1,2,0,1,1,0,1,2,2,1,0,2,0,0,2,2,0,1,1,1,1,2,0,2,1,2,2,2,0,2,0,2
44,0,0,1,1,1,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,3,4,5,0,1,-1,1,1,1,0,1,1,0,1,1,0,0,0,1,2,1,2,2,0,0,1,0,2,0,1,2,1,1,1,1,2,0,0,0,2,1
45,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,0,6,0,-1,0,0,2,0,1,0,2,0,2,1,2,2,1,2,0,2,2,1,0,0,0,0,0,2,2,1,0,0,1,1,2,0,2,2,0
46,0,0,1,1,1,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,3,4,5,5,1,20,0,2,1,2,1,2,0,0,1,1,2,1,0,2,1,1,1,0,1,1,0,2,0,0,2,1,0,0,0,2,1,2,2,0,1
47,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,0,3,7,0,-1,1,0,1,2,2,0,1,1,0,2,0,2,1,2,2,2,0,2,1,0,1,1,2,1,1,2,0,2,1,1,0,2,2,2,2
48,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,0,6,0,-1,2,0,2,1,1,1,2,2,1,1,2,1,0,0,2,1,2,2,1,2,1,2,2,1,0,0,2,0,2,0,1,1,2,0,2
49,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,0,3,7,0,-1,2,0,1,0,1,2,1,2,2,2,1,1,1,2,1,2,1,1,1,1,0,0,2,1,0,0,1,1,1,0,2,1,1,1,2
50,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,3,7,0,4,1,0,1,1,0,1,2,0,0,1,1,1,2,2,2,2,1,2,0,0,1,0,2,0,2,2,2,1,0,2,1,1,2,0,1
51,0,1,0,3,3,2,0,7,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,0,2,0,3,2,4,2,8,2,1,2,2,0,1,2,2,0,1,1,2,2,1,0,1,0,0,2,0,0,2,2,1,2,1,1,2,1,1,0,0,1,0,2
52,0,0,1,1,1,4,6,0,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,3,4,5,5,1,-1,0,0,1,1,2,2,2,0,1,2,2,2,2,1,2,1,1,2,0,2,0,1,2,2,0,1,1,2,2,1,2,1,0,1,1
53,0,1,0,3,3,5,5,7,12,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,0,0,2,0,3,2,4,2,-1,1,1,2,1,1,0,1,2,0,0,1,0,1,2,2,2,1,2,1,0,0,0,1,0,1,1,2,2,0,2,0,0,1,2,0
54,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,0,4,3,0,-1,0,1,1,0,0,2,0,1,1,2,0,0,0,0,0,2,1,1,1,0,1,0,0,2,0,1,2,2,1,1,0,2,0,2,2
55,0,0,1,1,4,0,1,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,2,1,4,1,1,0,1,-1,1,1,1,2,2,1,2,2,0,2,2,1,0,0,0,0,1,1,2,0,1,0,1,1,2,0,1,1,1,2,0,2,2,1,1
56,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,2,5,0,6,0,0,2,1,0,0,1,0,0,0,0,1,1,1,2,2,0,1,1,0,1,2,2,2,2,2,0,2,0,1,0,1,0,0,2,0,1
57,0,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,0,3,7,0,-1,2,2,2,0,0,2,0,0,1,1,1,0,1,0,0,2,1,2,0,1,2,1,1,0,0,2,0,2,1,2,1,1,2,1,1
